"","","","","","Issue Date","","","","","","","","","","","Violation","","","","","","","","","","","Location","","","","","",""
"","","XX0000","","","03/26/2018  01:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E69452","","","07/18/2018  11:07:00 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Hoch B","","","","","",""
"","","HK200312868","","","08/28/2018  16:08:16 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","E65158","","","09/01/2018  09:09:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Fargo","","","","","",""
"","","E69366","","","09/06/2018  10:09:00 AM","","","","","","","","","","","EXPIRED PERMIT*","","","","","","","","","","","Slee A","","","","","",""
"","","HK200580889","","","09/25/2018  13:09:58 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HK200901486","","","10/10/2018  07:10:12 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HK200901480","","","10/10/2018  07:10:15 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HK200901500","","","10/12/2018  14:10:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","E69997","","","10/16/2018  01:10:00 AM","","","","","","","","","","","OTHER","","","","","","","","","","","Other","","","","","",""
"","","E69959","","","10/16/2018  01:10:00 AM","","","","","","","","","","","OTHER","","","","","","","","","","","Other","","","","","",""
"","","E69942","","","10/18/2018  01:10:00 AM","","","","","","","","","","","OTHER","","","","","","","","","","","Other","","","","","",""
"","","HK200581078","","","10/24/2018  12:10:10 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","E61888","","","06/04/2018  15:06:00 PM","","","","","","","","","","","PARKED ON SIDEWALK*","","","","","","","","","","","CFA Service","","","","","",""
"","","E61889","","","07/26/2018  16:07:00 PM","","","","","","","","","","","PARKED ON SIDEWALK*","","","","","","","","","","","CFA Service","","","","","",""
"","","W2530","","","10/05/2018  01:10:00 AM","","","","","","","","","","","RESTRICTED ALL TIMES","","","","","","","","","","","Other","","","","","",""
"","","W2531","","","10/05/2018  16:10:00 PM","","","","","","","","","","","RESTRICTED ALL TIMES","","","","","","","","","","","Other","","","","","",""
"","","W2532","","","10/05/2018  16:10:00 PM","","","","","","","","","","","RESTRICTED ALL TIMES","","","","","","","","","","","Other","","","","","",""
"","","W2036","","","10/19/2018  09:10:00 AM","","","","","","","","","","","NO VALID PERMIT*","","","","","","","","","","","Other","","","","","",""
"","","E61786","","","09/07/2018  06:09:00 AM","","","","","","","","","","","HANDICAP AREA*","","","","","","","","","","","Flint East","","","","","",""
"","","E61789","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61788","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61791","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61790","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61792","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61793*","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61794","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61796","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61795","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61797","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61798","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61799","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61800","","","09/28/2018  03:09:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E61787","","","09/28/2018  15:09:00 PM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64851","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64853","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64852","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64856","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64857","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64855","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64858","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64859","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64860","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64861","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64862","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64863","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E62877","","","02/10/2018  18:02:00 PM","","","","","","","","","","","RESTRICTED ZONE - UOV ONLY*","","","","","","","","","","","Putnam Way","","","","","",""
"","","E64787","","","11/30/2018  09:11:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E64788","","","12/04/2018  11:12:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hayes Road","","","","","",""
"","","E63342","","","03/04/2018  20:03:00 PM","","","","","","","","","","","OTHER (NON-SAFETY)*","","","","","","","","","","","Bissell Lot","","","","","",""
"","","E69465","","","07/18/2018  12:07:00 PM","","","","","","","","","","","RESTRICTED ZONE - EVC ONLY*","","","","","","","","","","","Coventry Entrance","","","","","",""
"","","E63163","","","04/29/2018  21:04:00 PM","","","","","","","","","","","HANDICAP AREA*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E76119","","","05/12/2018  12:05:00 PM","","","","","","","","","","","PARKED ON ROADWAY*","","","","","","","","","","","Core Road","","","","","",""
"","","E63165","","","12/07/2018  00:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Parker Lot","","","","","",""
"","","E63166","","","12/07/2018  00:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Parker Lot","","","","","",""
"","","E63167","","","12/07/2018  00:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Parker Lot","","","","","",""
"","","E63168","","","12/07/2018  00:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Parker Lot","","","","","",""
"","","E63180","","","09/19/2018  21:09:00 PM","","","","","","","","","","","NO VISIBLE PERMIT*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63899","","","01/16/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63900","","","01/16/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63898","","","01/16/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63926","","","01/29/2018  01:01:00 AM","","","","","","","","","","","PARKED WITHOUT VALID STATE REG","","","","","","","","","","","South Lake East","","","","","",""
"","","E63927","","","01/29/2018  03:01:00 AM","","","","","","","","","","","PARKED WITHOUT VALID STATE REG","","","","","","","","","","","Fargo","","","","","",""
"","","E63928","","","01/29/2018  06:01:00 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Arena","","","","","",""
"","","E63929","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63932","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63930","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63933","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63931","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63935","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63934","","","02/04/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63943","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63946","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63939","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63944","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63937","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63936","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63942","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63941","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63940","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63938","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63945","","","02/04/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63947","","","02/04/2018  05:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63948","","","02/04/2018  05:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63949","","","02/04/2018  05:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E63950","","","02/10/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76027","","","02/10/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76026","","","02/10/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76028","","","02/17/2018  00:02:00 AM","","","","","","","","","","","PARKED STRADDLING LINES*","","","","","","","","","","","Spaulding","","","","","",""
"","","E76029","","","02/18/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76030","","","02/19/2018  02:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76032","","","02/19/2018  03:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76033","","","02/19/2018  03:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76031","","","02/19/2018  03:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E76035","","","02/28/2018  04:02:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76038","","","03/03/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76036","","","03/03/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76037","","","03/03/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76040","","","03/14/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
